question,ground_truth,contexts,evolution_type
What is the minimum opening balance for a regular savings account?,"The minimum opening balance for a regular savings account is 500,000 VND.","[""# Banking Products & Services Guide\n\n## Savings Accounts\n\n### Regular Savings Account\nA regular savings account offers a competitive interest rate of 4.5% per annum for balances above 10 million VND. The minimum opening balance is 500,000 VND. Interest is calculated daily and paid monthly. Customers can make unlimited withdrawals but must maintain the minimum balance."", ""### Online Savings Account\nThe online savings account provides a 0.3% bonus interest rate compared to regular savings. Available exclusively through the mobile banking app and internet banking platform. No minimum balance requirement and no monthly maintenance fees.\n\n## Loan Products"", ""# Banking Fees and Charges Schedule\n\n## Account Maintenance Fees\n\n| Account Type | Monthly Fee | Waiver Condition |\n|---|---|---|\n| Regular Savings | 10,000 VND | Balance > 1M VND |\n| Premium Savings | Free | Always free |\n| Checking Account | 20,000 VND | Salary account |\n| Student Account | Free | Valid student ID |\n\n## Transfer Fees""]",simple
What is the interest rate for a regular savings account?,A regular savings account offers a competitive interest rate of 4.5% per annum for balances above 10 million VND.,"[""# Banking Products & Services Guide\n\n## Savings Accounts\n\n### Regular Savings Account\nA regular savings account offers a competitive interest rate of 4.5% per annum for balances above 10 million VND. The minimum opening balance is 500,000 VND. Interest is calculated daily and paid monthly. Customers can make unlimited withdrawals but must maintain the minimum balance."", ""### Online Savings Account\nThe online savings account provides a 0.3% bonus interest rate compared to regular savings. Available exclusively through the mobile banking app and internet banking platform. No minimum balance requirement and no monthly maintenance fees.\n\n## Loan Products"", ""### Fixed Deposit Account\nFixed deposits offer higher interest rates ranging from 5.0% to 7.5% per annum depending on the term. Available terms include 1, 3, 6, 12, 18, and 24 months. Early withdrawal results in a penalty rate of 0.5% per annum. The minimum deposit is 10 million VND for standard terms and 50 million VND for premium rates.""]",simple
What is the daily withdrawal limit at ATMs?,The daily withdrawal limit is 50 million VND per card.,"[""### ATM Network\nThe bank operates 2,500 ATMs nationwide. Daily withdrawal limit is 50 million VND per card. Interbank ATM withdrawals incur a fee of 3,300 VND per transaction. Cardless withdrawal via QR code is available at all bank-owned ATMs.\n\n## Wire Transfers"", ""### Internet Banking\nInternet banking supports balance inquiry, fund transfers up to 500 million VND per transaction, bill payments, and account management. Two-factor authentication (2FA) via OTP is mandatory for all transactions. Daily transfer limit can be customized from 10 million to 2 billion VND."", ""# Banking Products & Services Guide\n\n## Savings Accounts\n\n### Regular Savings Account\nA regular savings account offers a competitive interest rate of 4.5% per annum for balances above 10 million VND. The minimum opening balance is 500,000 VND. Interest is calculated daily and paid monthly. Customers can make unlimited withdrawals but must maintain the minimum balance.""]",simple
What is the exact fee charged for withdrawing cash from another bank's ATM?,"Interbank ATM withdrawals incur a fee of 3,300 VND per transaction.","[""### Standard Credit Card\nThe standard credit card has an annual fee of 300,000 VND with a credit limit from 10 million to 100 million VND. The interest-free period is 45 days for full payment. Cash advance fee is 3% of the transaction amount with a minimum of 50,000 VND. Late payment penalty is 4% of the minimum payment amount."", ""### ATM Network\nThe bank operates 2,500 ATMs nationwide. Daily withdrawal limit is 50 million VND per card. Interbank ATM withdrawals incur a fee of 3,300 VND per transaction. Cardless withdrawal via QR code is available at all bank-owned ATMs.\n\n## Wire Transfers"", ""### Debit Card\n- Card issuance: Free (first card)\n- Card replacement: 100,000 VND\n- Annual fee: 50,000 VND (waived first year)\n- ATM withdrawal (own bank): Free\n- ATM withdrawal (other bank): 3,300 VND\n- ATM withdrawal (international): 50,000 VND + 2%""]",simple
What is the annual fee for a standard credit card?,"The standard credit card has an annual fee of 300,000 VND.","[""### Standard Credit Card\nThe standard credit card has an annual fee of 300,000 VND with a credit limit from 10 million to 100 million VND. The interest-free period is 45 days for full payment. Cash advance fee is 3% of the transaction amount with a minimum of 50,000 VND. Late payment penalty is 4% of the minimum payment amount."", ""### Premium Credit Card\nThe premium credit card offers a credit limit from 100 million to 500 million VND. Annual fee is 1,500,000 VND, waived if annual spending exceeds 200 million VND. Benefits include airport lounge access, travel insurance up to 2 billion VND, and 2x reward points on dining and travel purchases."", ""### Credit Card Fees\n- Standard annual fee: 300,000 VND\n- Premium annual fee: 1,500,000 VND\n- Late payment penalty: 4% of minimum payment\n- Cash advance: 3% (min 50,000 VND)\n- Foreign transaction fee: 2.5%\n- Over-limit fee: 200,000 VND\n- Card replacement: 150,000 VND\n\n## Loan Fees\n\n### Processing Fees\n- Personal loan processing: 1% of loan amount (min 500K VND)\n- Mortgage processing: 0.5% of loan amount (min 1M VND)\n- Business loan processing: 0.3% of loan amount (min 2M VND)""]",simple
How long is the interest-free period for credit card payments?,The interest-free period is 45 days for full payment.,"[""### Standard Credit Card\nThe standard credit card has an annual fee of 300,000 VND with a credit limit from 10 million to 100 million VND. The interest-free period is 45 days for full payment. Cash advance fee is 3% of the transaction amount with a minimum of 50,000 VND. Late payment penalty is 4% of the minimum payment amount."", ""### Mobile Banking App\nThe mobile banking app supports biometric login (fingerprint and face recognition), QR code payments, mobile top-up, and instant notifications. The app is available on iOS 14+ and Android 10+. Peer-to-peer transfers are instant and free for amounts under 10 million VND."", ""### Premium Credit Card\nThe premium credit card offers a credit limit from 100 million to 500 million VND. Annual fee is 1,500,000 VND, waived if annual spending exceeds 200 million VND. Benefits include airport lounge access, travel insurance up to 2 billion VND, and 2x reward points on dining and travel purchases.""]",simple
What is the maximum term for home mortgage loans?,The maximum loan term for home mortgage is 25 years.,"[""### Home Mortgage Loans\nMortgage loans cover up to 70% of property value with interest rates from 7.5% to 9.5% per annum. The maximum loan term is 25 years. Borrowers must have a stable income of at least 3 times the monthly repayment amount. Property appraisal is conducted by the bank at no extra cost for the first assessment."", ""### Fixed Deposit Account\nFixed deposits offer higher interest rates ranging from 5.0% to 7.5% per annum depending on the term. Available terms include 1, 3, 6, 12, 18, and 24 months. Early withdrawal results in a penalty rate of 0.5% per annum. The minimum deposit is 10 million VND for standard terms and 50 million VND for premium rates."", ""### Business Loans\nBusiness loans for SMEs range from 100 million to 10 billion VND. Collateral requirements vary: secured loans require 120% collateral coverage, while credit-based loans are available for existing customers with good track records. The approval process takes 5-7 business days for secured loans and 10-15 days for credit-based loans.\n\n## Credit Cards""]",simple
How many ATMs does the bank operate nationwide?,"The bank operates 2,500 ATMs nationwide.","[""### ATM Network\nThe bank operates 2,500 ATMs nationwide. Daily withdrawal limit is 50 million VND per card. Interbank ATM withdrawals incur a fee of 3,300 VND per transaction. Cardless withdrawal via QR code is available at all bank-owned ATMs.\n\n## Wire Transfers"", ""### Fraud Prevention\nThe bank employs real-time transaction monitoring using AI-based anomaly detection. Suspicious transactions trigger automatic alerts via SMS and email. Customers can instantly freeze their cards through the mobile app. All online transactions require OTP verification for amounts exceeding 5 million VND."", ""### Data Protection\nCustomer data is encrypted using AES-256 at rest and TLS 1.3 in transit. Data retention period is 10 years after account closure as required by Vietnamese banking regulations. The bank complies with Circular 09/2020/TT-NHNN on information technology risk management.""]",simple
What is the cash advance fee for credit cards?,"Cash advance fee is 3% of the transaction amount with a minimum of 50,000 VND.","[""### Standard Credit Card\nThe standard credit card has an annual fee of 300,000 VND with a credit limit from 10 million to 100 million VND. The interest-free period is 45 days for full payment. Cash advance fee is 3% of the transaction amount with a minimum of 50,000 VND. Late payment penalty is 4% of the minimum payment amount."", ""### Credit Card Fees\n- Standard annual fee: 300,000 VND\n- Premium annual fee: 1,500,000 VND\n- Late payment penalty: 4% of minimum payment\n- Cash advance: 3% (min 50,000 VND)\n- Foreign transaction fee: 2.5%\n- Over-limit fee: 200,000 VND\n- Card replacement: 150,000 VND\n\n## Loan Fees\n\n### Processing Fees\n- Personal loan processing: 1% of loan amount (min 500K VND)\n- Mortgage processing: 0.5% of loan amount (min 1M VND)\n- Business loan processing: 0.3% of loan amount (min 2M VND)"", ""### Business Loans\nBusiness loans for SMEs range from 100 million to 10 billion VND. Collateral requirements vary: secured loans require 120% collateral coverage, while credit-based loans are available for existing customers with good track records. The approval process takes 5-7 business days for secured loans and 10-15 days for credit-based loans.\n\n## Credit Cards""]",simple
What is the minimum age to open a bank account?,"To open an account, customers must be at least 18 years old.","[""### Account Opening Requirements\nTo open an account, customers must be at least 18 years old and present a valid CCCD (Citizen Identity Card) or passport. For foreign nationals, a valid visa or residence card is required in addition to a passport. The account opening process takes approximately 15-30 minutes at any branch."", ""### Fixed Deposit Account\nFixed deposits offer higher interest rates ranging from 5.0% to 7.5% per annum depending on the term. Available terms include 1, 3, 6, 12, 18, and 24 months. Early withdrawal results in a penalty rate of 0.5% per annum. The minimum deposit is 10 million VND for standard terms and 50 million VND for premium rates."", ""### Online Savings Account\nThe online savings account provides a 0.3% bonus interest rate compared to regular savings. Available exclusively through the mobile banking app and internet banking platform. No minimum balance requirement and no monthly maintenance fees.\n\n## Loan Products""]",simple
