question,answer,ground_truth,evolution_type,faithfulness,answer_relevancy,context_precision,context_recall,avg_score
What is the minimum opening balance for a regular savings account?,# Banking Products & Services Guide  ## Savings Accounts  ### Regular Savings Account A regular savings account offers a competitive interest rate of 4.5% per annum for balances above 10 million VND,"The minimum opening balance for a regular savings account is 500,000 VND.",simple,0.58,0.4167,0.1759,0.1935,0.3415
What is the interest rate for a regular savings account?,# Banking Products & Services Guide  ## Savings Accounts  ### Regular Savings Account A regular savings account offers a competitive interest rate of 4.5% per annum for balances above 10 million VND,A regular savings account offers a competitive interest rate of 4.5% per annum for balances above 10 million VND.,simple,0.5582,0.4815,0.1791,0.7917,0.5026
What is the daily withdrawal limit at ATMs?,Daily withdrawal limit is 50 million VND per card,The daily withdrawal limit is 50 million VND per card.,simple,0.4587,0.5154,0.104,0.9,0.4945
What is the exact fee charged for withdrawing cash from another bank's ATM?,"Cash advance fee is 3% of the transaction amount with a minimum of 50,000 VND","Interbank ATM withdrawals incur a fee of 3,300 VND per transaction.",simple,0.525,0.412,0.1082,0.2857,0.3327
What is the annual fee for a standard credit card?,"### Standard Credit Card The standard credit card has an annual fee of 300,000 VND with a credit limit from 10 million to 100 million VND","The standard credit card has an annual fee of 300,000 VND.",simple,0.5481,0.513,0.1647,0.6,0.4565
How long is the interest-free period for credit card payments?,The interest-free period is 45 days for full payment,The interest-free period is 45 days for full payment.,simple,0.4674,0.58,0.1325,1.0,0.545
What is the maximum term for home mortgage loans?,The maximum loan term is 25 years,The maximum loan term for home mortgage is 25 years.,simple,0.4385,0.5333,0.1002,0.7,0.443
How many ATMs does the bank operate nationwide?,"### ATM Network The bank operates 2,500 ATMs nationwide","The bank operates 2,500 ATMs nationwide.",simple,0.4495,0.5154,0.0597,0.7778,0.4506
What is the cash advance fee for credit cards?,"Cash advance fee is 3% of the transaction amount with a minimum of 50,000 VND","Cash advance fee is 3% of the transaction amount with a minimum of 50,000 VND.",simple,0.5034,0.4842,0.1149,1.0,0.5256
What is the minimum age to open a bank account?,"### Account Opening Requirements To open an account, customers must be at least 18 years old and present a valid CCCD (Citizen Identity Card) or passport","To open an account, customers must be at least 18 years old.",simple,0.5412,0.3933,0.127,0.5,0.3904
